Ellipsoid|Semi-major axis|1/flattening
Airy 1830|6377563.396|299.3249646
Modified Airy|6377340.189|299.3249646
Australian National|6378160|298.25
Bessel 1841 (Namibia)|6377483.865|299.1528128
Bessel 1841|6377397.155|299.1528128
Clarke 1866|6378206.4|294.9786982
Clarke 1880|6378249.145|293.465
Everest (India 1830)|6377276.345|300.8017 
Everest (Sabah Sarawak)|6377298.556|300.8017 
Everest (India 1956)|6377301.243|300.8017 
Everest (Malaysia 1969)|6377295.664|300.8017 
Everest (Malay. & Sing)|6377304.063|300.8017 
Everest (Pakistan)|6377309.613|300.8017 
Modified Fischer 1960|6378155|298.3 
Helmert 1906|6378200|298.3
Hough 1960|6378270|297
Indonesian 1974|6378160|298.247
International 1924|6378388|297 
Krassovsky 1940|6378245|298.3
GRS 80|6378137|298.257222101
South American 1969|6378160|298.25 
WGS 72|6378135|298.26
WGS 84|6378137|298.257223563
